time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz,u_lumbar_extension,u_lumbar_bending,u_lumbar_rotation,u_arm_flex_r,u_arm_add_r,u_arm_rot_r,u_elbow_flex_r,u_pro_sup_r
1.8,312.835,509.8839,370.7764,7.437204,0.2623046,-9.142761,3.61694,-25.26536,22.78512,44.95438,99.52485,558.9992,135.6421,585.2914,884.7475,674.3764,572.2176,213.3583,333.8366,660.4695,0.01484,-0.0178294,0.018225,0.03138,-0.02193,-0.23576,-0.01792,-0.03628
1.81,312.7207,509.9287,370.7129,7.452044,0.2444752,-9.124536,3.64832,-25.28729,22.54936,44.93646,99.48857,559.1014,136.3067,585.6602,884.7725,674.3905,572.2259,213.1567,334.0757,660.6429,-0.009251,0.0069454,-0.023696,0.081983,-0.13108,-0.00666,0.06364,0.02657
1.82,312.5913,509.9532,370.6828,7.442793,0.2514206,-9.148232,3.730303,-25.41837,22.5427,45.0001,99.51514,559.1431,136.8678,586.0164,884.7479,674.3768,572.2229,212.9527,334.2198,660.7361,0.006513,-0.0207038,-0.002264,-0.021683,-0.02069,-0.02718,0.0613,-0.09442
1.83,312.4764,509.9798,370.6448,7.449306,0.2307168,-9.150496,3.70862,-25.43906,22.51552,45.0614,99.42072,559.1846,137.5333,586.3371,884.7571,674.3993,572.2171,212.7383,334.3778,660.8639,0.042058,-0.0247965,-0.018182,-0.060412,-0.03328,-0.00066,0.09949,0.02448
1.84,312.3484,510.0036,370.5945,7.491364,0.2059203,-9.168678,3.648208,-25.47234,22.51486,45.16089,99.4452,559.1714,138.1065,586.5787,884.7496,674.4162,572.2245,212.4838,334.5241,661.0285,0.006436,-0.0181411,-0.004881,-0.138787,0.03382,0.12008,0.1526,0.13495
1.85,312.2245,510.031,370.5687,7.4978,0.1877792,-9.173559,3.509421,-25.43852,22.63494,45.31349,99.58015,559.148,138.6933,586.7566,884.7644,674.4463,572.2325,212.2827,334.7804,661.1924,0.006234,-0.0265828,-0.005951,-0.014016,-0.03717,-0.00756,0.08015,-0.07615
1.86,312.0843,510.0483,370.5235,7.504034,0.1611964,-9.17951,3.495405,-25.47569,22.62738,45.39364,99.504,559.1941,139.2899,587.1091,884.7586,674.4241,572.2328,212.0489,334.9184,661.3374,0.049241,-0.0350844,-0.005836,-0.058674,-0.0295,0.00408,0.09558,-0.09896
1.87,311.9595,510.0791,370.4877,7.553275,0.126112,-9.185346,3.436731,-25.50519,22.63146,45.48922,99.40504,559.2383,139.9794,587.4264,884.7568,674.4034,572.2176,211.8164,335.0221,661.4992,-0.003302,-0.0083119,-0.015887,-0.007798,-0.01782,-0.02292,0.07935,-0.00876
1.88,311.8397,510.1194,370.4265,7.549973,0.1178001,-9.201233,3.428933,-25.52301,22.60854,45.56857,99.39628,559.2916,140.6431,587.6378,884.7658,674.4219,572.2253,211.6055,335.1818,661.6404,0.022731,-0.02746444,0.008078,0.101606,-0.10178,-0.15913,0.03895,0.08015
1.89,311.7126,510.1267,370.3861,7.572704,0.09033566,-9.193155,3.530539,-25.62479,22.44941,45.60752,99.47643,559.3058,141.2291,587.8178,884.7768,674.4287,572.2238,211.4016,335.2091,661.6786,0.004377,-0.01531527,-0.014653,0.025815,-0.0406,-0.03327,0.07636,-0.02245
1.9,311.5899,510.1531,370.3285,7.577081,0.07502039,-9.207808,3.556354,-25.66539,22.41614,45.68388,99.45398,559.3866,141.9349,587.9825,884.7596,674.4016,572.2202,211.1795,335.3562,661.8114,0.027275,-0.00521096,-0.013567,-0.006389,-0.06542,-0.03313,0.11508,-0.0664
1.91,311.477,510.1911,370.2734,7.604356,0.06980943,-9.221375,3.549965,-25.73081,22.38301,45.79896,99.38758,559.6169,142.8502,588.2137,884.7467,674.4021,572.2316,210.9521,335.461,661.9179,0.024106,-0.00530227,-0.008923,-0.010728,-0.04589,-0.06763,0.11231,-0.06765
1.92,311.3553,510.219,370.201,7.628462,0.06450716,-9.230298,3.539237,-25.7767,22.31538,45.91127,99.31993,559.943,143.9078,588.4844,884.7633,674.4247,572.2164,210.7161,335.5568,662.0128,-0.018071,-0.01451104,0.004609,-0.000813,-0.03739,-0.10662,0.13875,-0.08058
1.93,311.2304,510.2466,370.1612,7.610391,0.04999612,-9.225689,3.538424,-25.81409,22.20876,46.05002,99.23935,560.3222,144.9933,588.6589,884.772,674.4461,572.2273,210.4851,335.6144,662.0409,0.012007,-0.02536369,-0.008148,-0.018032,-0.0059,-0.10392,0.13664,-0.00511
1.94,311.1286,510.2868,370.1046,7.622398,0.02463243,-9.233837,3.520392,-25.81999,22.10484,46.18666,99.23424,560.6055,146.0535,588.8145,884.7291,674.3701,572.2214,210.2547,335.7542,662.1641,-0.003111,-0.021833698,0.024623,-0.027262,-0.00651,-0.15886,0.16374,0.06718
