time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
0.01,330.24372,498.24799,380.11549,-3.4449992,4.7150784,-4.1622725,4.8077641,-32.156639,18.758507,58.313992,108.47742,528.6839,134.8367,556.6032,1104.3911,673.36238,512.73553,178.41006,309.75075,692.53253
0.02,330.24723,498.28361,380.10954,-3.4029479,4.7134748,-4.1755247,4.8255434,-32.127773,18.789648,58.280849,108.52901,528.72598,134.89794,556.38482,1104.4052,673.37566,512.73768,178.58951,309.68267,692.69207
0.03,330.25237,498.33095,380.11957,-3.3984137,4.7134538,-4.1781626,4.8991413,-32.201782,18.897774,58.317883,108.52663,528.79273,134.94484,556.14486,1104.3941,673.3595,512.72615,178.83175,309.63416,692.87382
0.04,330.26347,498.35255,380.09436,-3.4052556,4.7034335,-4.2021012,4.9982982,-32.112747,19.031975,58.279827,108.64165,529.12639,134.57168,555.82299,1104.3912,673.3478,512.73315,179.10615,309.58579,693.08676
0.05,330.21625,498.35578,380.12415,-3.4172628,4.7277808,-4.2406363,5.1533995,-32.187134,19.219402,58.278229,108.6945,529.2158,134.63199,555.47578,1104.3867,673.34349,512.74082,179.46069,309.53545,693.27083
0.06,329.92994,498.18459,380.14295,-3.5283692,4.9470801,-4.5022054,5.5845718,-32.448807,19.744389,58.224072,107.96786,529.54312,135.4281,555.1364,1104.4188,673.24964,512.73563,179.88817,309.47454,693.57987
0.07,329.88097,498.20935,380.18095,-3.5597234,4.9616466,-4.5489082,5.761271,-32.511536,19.947632,58.235806,107.95081,529.73851,135.53693,554.77188,1104.4215,673.26745,512.73185,180.27544,309.53539,693.856
0.08,329.81971,498.20053,380.23666,-3.5243311,4.9770522,-4.5760636,5.8667922,-32.553783,20.134779,58.214474,109.17919,529.85838,134.63943,554.65814,1104.4816,673.28109,512.78847,180.6519,309.53127,694.0496
0.09,329.76224,498.20718,380.32291,-3.5206838,5.0020709,-4.6161985,5.9925895,-32.625595,20.327572,58.227009,109.32066,530.11075,134.67611,554.43923,1104.4846,673.29015,512.7886,181.08393,309.46426,694.24081
0.1,329.71614,498.18988,380.39358,-3.5380988,5.0188894,-4.6586046,6.126442,-32.661125,20.494526,58.233402,109.27634,530.38889,134.93628,554.23142,1104.5038,673.28175,512.82167,181.50783,309.4204,694.46945
0.11,329.69094,498.22814,380.48792,-3.4930205,5.0490994,-4.6973772,6.2307487,-32.737453,20.673807,58.229496,109.42054,530.68307,135.06062,554.0202,1104.4962,673.29484,512.81361,181.90001,309.33482,694.66825
0.12,329.67273,498.22428,380.55275,-3.4617057,5.0651526,-4.7306848,6.2892666,-32.759735,20.782204,58.235504,109.69125,530.95846,135.05351,553.79294,1104.5081,673.29147,512.82433,182.30055,309.39466,694.86957
0.13,329.65721,498.21531,380.61503,-3.4844704,5.0749583,-4.7494278,6.4398475,-32.774952,20.895348,58.212555,110.18592,531.29554,134.66221,553.95712,1104.5053,673.28353,512.81685,182.68187,309.36048,695.04227
0.14,329.64739,498.21601,380.63806,-3.4529779,5.0856628,-4.7682838,6.5357051,-32.852215,20.98344,58.212677,110.11263,531.70898,134.83595,553.94152,1104.5075,673.27729,512.81016,183.00177,309.35925,695.13766
0.15,329.6412,498.223,380.68162,-3.4971926,5.1094475,-4.7727609,6.6529741,-32.88409,21.024481,58.194496,110.08564,532.10536,134.66109,554.11195,1104.5007,673.27956,512.80845,183.35777,309.31085,695.15002
0.16,329.65332,498.27274,380.69372,-3.5228758,5.086308,-4.7727795,6.7288923,-32.865452,21.047365,58.17691,110.12228,532.49783,134.59295,554.20439,1104.501,673.27626,512.83597,183.70012,309.21812,695.11512
0.17,329.65262,498.29024,380.66414,-3.4601352,5.0582728,-4.751863,6.7250147,-32.825932,21.009998,58.073643,110.3638,532.97049,134.48482,554.42149,1104.4867,673.28067,512.80299,184.0642,309.07581,695.10657
0.18,329.65093,498.29877,380.62508,-3.48157,5.0713043,-4.7331438,6.8340182,-32.814007,20.983324,57.951935,110.56647,533.47026,134.20002,554.74566,1104.5037,673.29773,512.82265,184.42217,308.94249,695.00867
0.19,329.67223,498.33121,380.59514,-3.5206232,5.0711598,-4.7119699,6.9653916,-32.775749,20.951126,57.776413,110.65638,533.92898,133.95439,555.02896,1104.4987,673.28448,512.81314,184.81874,308.70429,694.87816
0.2,329.68867,498.36477,380.52009,-3.4679422,5.0655675,-4.7000189,6.9811807,-32.733185,20.897242,57.628532,110.66045,534.55317,133.60228,555.44383,1104.4969,673.28242,512.81363,185.25526,308.4876,694.68603
0.21,329.71422,498.38872,380.47438,-3.5140369,5.0678082,-4.6674738,7.121388,-32.71666,20.863544,57.476082,110.72124,535.15931,133.21043,555.93789,1104.4977,673.3002,512.8122,185.70421,308.27304,694.4992
0.22,329.72492,498.41755,380.3845,-3.4831569,5.093473,-4.6488113,7.1508179,-32.698376,20.812847,57.357151,110.69167,535.79142,132.79335,556.36781,1104.4896,673.2707,512.80528,186.18706,308.06478,694.21012
0.23,329.75162,498.45893,380.30733,-3.4635048,5.1162043,-4.6264358,7.1702218,-32.690773,20.782064,57.257332,110.67873,536.53452,132.59534,556.85482,1104.4752,673.2661,512.79537,186.72123,307.80204,693.86716
0.24,329.76509,498.4855,380.24894,-3.4730179,5.142755,-4.5928636,7.2614865,-32.662418,20.73292,57.104786,110.84889,537.15409,132.30589,557.01135,1104.472,673.25971,512.81041,187.25375,307.57675,693.55185
0.25,329.78511,498.52213,380.19391,-3.4854584,5.1658888,-4.578846,7.3242025,-32.622696,20.697088,56.98996,110.84348,537.77508,132.08974,557.11478,1104.4673,673.25116,512.81358,187.74141,307.41497,693.3189
0.26,329.80042,498.55774,380.14202,-3.4671988,5.1665049,-4.5541191,7.3825006,-32.610188,20.66913,56.879265,110.8587,538.29157,131.78478,557.23695,1104.4592,673.25406,512.80423,188.25325,307.34759,693.1392
0.27,329.84657,498.60212,380.08869,-3.4788082,5.1841102,-4.5263953,7.5298266,-32.62355,20.667595,56.700291,110.92776,538.79399,131.50009,557.13963,1104.4762,673.23251,512.80404,188.78029,307.28377,692.94366
0.28,329.87988,498.65732,380.03244,-3.4553187,5.2170238,-4.5216856,7.6018085,-32.619019,20.723427,56.564846,110.90622,539.20829,131.30787,556.98153,1104.4786,673.25867,512.81697,189.32481,307.20441,692.72486
0.29,329.91134,498.70637,379.9916,-3.4233432,5.2280407,-4.4916134,7.6511679,-32.63401,20.797413,56.475052,110.90645,539.53617,131.1091,556.71399,1104.4635,673.2411,512.80528,189.8972,307.101,692.56233
0.3,329.95708,498.76986,379.93834,-3.4412379,5.2379279,-4.4726896,7.7386694,-32.620525,20.890791,56.390774,110.86669,539.89998,131.01435,556.57653,1104.4742,673.26138,512.8103,190.386,307.10972,692.50677
0.31,330.02588,498.85217,379.89677,-3.4308174,5.2647524,-4.4673743,7.7630234,-32.618839,21.022512,56.347614,110.92661,540.03338,130.80159,556.20954,1104.4608,673.24742,512.80745,190.78609,307.0936,692.47148
0.32,330.10688,498.9515,379.82461,-3.4372137,5.2998896,-4.4322209,7.7996588,-32.631657,21.129528,56.31665,110.95228,540.14983,130.64445,555.7901,1104.4584,673.25095,512.79943,191.20314,307.10785,692.49599
0.33,330.1971,499.04601,379.78524,-3.456593,5.3373427,-4.413095,7.8568468,-32.689892,21.232208,56.300842,110.96183,540.18948,130.49017,555.42742,1104.465,673.25079,512.79541,191.58466,307.16686,692.53842
0.34,330.2631,499.10042,379.69945,-3.3713181,5.3294258,-4.3677516,7.770596,-32.716843,21.286707,56.294754,110.88778,540.16998,130.31028,555.10835,1104.4529,673.25017,512.81292,191.90089,307.22173,692.57923
0.35,330.36679,499.19992,379.62318,-3.3901925,5.3590188,-4.3217316,7.7884016,-32.752338,21.342611,56.28511,110.79993,540.0847,130.19983,554.76566,1104.4595,673.2373,512.79401,192.09719,307.2776,692.66708
0.36,330.4545,499.28128,379.53816,-3.3969331,5.3722806,-4.2869587,7.7654881,-32.764317,21.388231,56.273197,110.82338,539.79178,129.93184,554.4802,1104.4781,673.25446,512.80811,192.28986,307.4371,692.83648
0.37,330.52878,499.35752,379.42153,-3.3490736,5.381588,-4.2383599,7.6998038,-32.783417,21.410065,56.239979,110.61662,539.6344,129.83449,554.31256,1104.4712,673.2513,512.80815,192.45294,307.48643,692.99453
